Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
11418509987,ASIAN 1 RESTAURANT CORP.,530 W LYNDON B JOHNSON FWY STE 100,IRVING,TX,75063,57,1,OUR GLASS RESTAURANT AND SPORTS BAR,530 W LYNDON B JOHNSON FWY # 100,IRVING,TX,75063,57,Y,MB571314,12/29/2004,,10/31/2017,$40035,$996,$48379,$0,$89410
32044564477,"GR VENTURES, INC.",4140 LEMMON AVE,DALLAS,TX,75219,57,1,GLORIA'S RESTAURANT,300 W 6TH ST STE 100,AUSTIN,TX,78701,227,Y,MB802997,04/05/2012,,10/31/2017,$75962,$6824,$5466,$0,$88252
32051307539,CHEF TIME 1520 LLC,2660 N HASKELL AVE APT 1129 C/O BRANDON,DALLAS,TX,75204,57,1,THE WOOLWORTH,1520 ELM ST STE 201,DALLAS,TX,75201,57,Y,MB851836,09/17/2013,,10/31/2017,$72715,$20679,$11713,$0,$105107
32051920299,"CYPRESS LODGING GROUP, LLC",21330 KATY FWY,KATY,TX,77449,101,1,LA QUINTA INN AND SUITES CYPRESS,27130 HIGHWAY 290,CYPRESS,TX,77433,101,Y,MB952123,07/22/2016,,10/31/2017,$370,$88,$258,$0,$716
32053680347,MULLIGAN FOODS 4 LLC,PO BOX 243,ALLEN,TX,75013,43,1,FUZZY'S TACO SHOP,790 W EXCHANGE PKWY STE 140,ALLEN,TX,75013,43,Y,RM911998,06/24/2015,,10/31/2017,$4242,$88,$4388,$0,$8718
17525823914,"WEST HOUSTON NIGHT LIFE, INC.",4500 BISSONNET ST STE 365,BELLAIRE,TX,77401,101,1,ELECTRIC COWBOY,8740 CAMP BOWIE WEST BLVD,FORT WORTH,TX,76116,220,Y,MB253720,05/11/1995,,10/31/2017,$41366,$137,$18493,$0,$59996
32064008660,"THE NETWORK BAR BEVERAGE COMPANY, LLC",12700 COIT ROAD SUITE 600,DALLAS,TX,75251,57,1,THE NETWORK BAR,331 SINGLETON BLVD # 130,DALLAS,TX,75212,57,Y,RM995309,09/25/2017,,10/31/2017,$8152,$2504,$636,$0,$11292
32050075921,"KNOTHEADS ON THE LAKE, LLC",2611 NASA PKWY # 1,SEABROOK,TX,77586,101,1,"KNOTHEADS ON THE LAKE, LLC",2611 NASA PKWY # 1,SEABROOK,TX,77586,101,Y,MB446181,03/01/2013,,10/31/2017,$0,$0,$0,$0,$0
32040277181,"ARTURO'S BAR & GRILL, L.L.C.",2303 W EXPRESSWAY 83,WESLACO,TX,78596,108,3,ARTURO'S BAR & GRILL,2303 W EXPRESSWAY 83,WESLACO,TX,78596,108,Y,MB738285,09/01/2013,,10/31/2017,$26009,$1601,$8340,$0,$35950
32051870163,"DOLCE VITA LJD, INC.",PO BOX 339,MCALLEN,TX,78505,108,1,SALT,210 N MAIN ST,MCALLEN,TX,78501,108,Y,MB856693,11/06/2013,,10/31/2017,$15518,$17570,$3141,$0,$36229
